id,marca,modelo,tipo,is_derco,marca_modelo,tipo_gpt
0,alfa romeo,4c,automovil,False,alfa romeo 4c,Coupe
1,alfa romeo,giulia,automovil,False,alfa romeo giulia,Sedan
2,alfa romeo,giulietta,automovil,False,alfa romeo giulietta,Hatchback
3,alfa romeo,mito,automovil,False,alfa romeo mito,Hatchback
4,alfa romeo,stelvio,station wagon,False,alfa romeo stelvio,SUV
5,audi,a1,automovil,False,audi a1,Hatchback
6,audi,a3,automovil,False,audi a3,Sedan
7,audi,a4,automovil,False,audi a4,Sedan
8,audi,a5,automovil,False,audi a5,Coupe
9,audi,a6,automovil,False,audi a6,Sedan
10,audi,a7,automovil,False,audi a7,Sedan
11,audi,a8,automovil,False,audi a8,Sedan
12,audi,q2,station wagon,False,audi q2,SUV
13,audi,q3,station wagon,False,audi q3,SUV
14,audi,q5,station wagon,False,audi q5,SUV
15,audi,q7,jeep,False,audi q7,SUV
16,audi,q8,station wagon,False,audi q8,SUV
17,audi,r8,automovil,False,audi r8,Coupe
18,audi,tt,automovil,False,audi tt,Coupe
19,baic,plus,furgon,False,baic plus,Sedan
20,baic,up,automovil,False,baic up,Hatchback
21,baic,x25,station wagon,False,baic x25,Sedan
22,baic,x35,station wagon,False,baic x35,SUV
23,baic,x55,station wagon,False,baic x55,Sedan
24,baic,zoom,jeep,False,baic zoom,Hatchback
25,bmw,118,automovil,False,bmw 118,Sedan
26,bmw,120,automovil,False,bmw 120,Sedan
27,bmw,128,automovil,False,bmw 128,Sedan
28,bmw,218,automovil,False,bmw 218,Sedan
29,bmw,220,automovil,False,bmw 220,Sedan
30,bmw,318,automovil,False,bmw 318,Sedan
31,bmw,320,automovil,False,bmw 320,Sedan
32,bmw,330,automovil,False,bmw 330,Sedan
33,bmw,340,automovil,False,bmw 340,Sedan
34,bmw,420,automovil,False,bmw 420,Sedan
35,bmw,435,automovil,False,bmw 435,Coupe
36,bmw,520,automovil,False,bmw 520,Sedan
37,bmw,528,automovil,False,bmw 528,Sedan
38,bmw,530,automovil,False,bmw 530,Sedan
39,bmw,535,automovil,False,bmw 535,Sedan
40,bmw,540,automovil,False,bmw 540,Sedan
41,bmw,640,automovil,False,bmw 640,Sedan
42,bmw,650,automovil,False,bmw 650,Coupe
43,bmw,730,automovil,False,bmw 730,Sedan
44,bmw,740,automovil,False,bmw 740,Sedan
45,bmw,745,automovil,False,bmw 745,Sedan
46,bmw,750,automovil,False,bmw 750,Sedan
47,bmw,i3,automovil,False,bmw i3,Hatchback
48,bmw,i8,automovil,False,bmw i8,Coupe
49,bmw,m135,automovil,False,bmw m135,Sedan
50,bmw,m2,automovil,False,bmw m2,Coupe
51,bmw,m3,automovil,False,bmw m3,Coupe
52,bmw,m4,automovil,False,bmw m4,Coupe
53,bmw,m5,automovil,False,bmw m5,Sedan
54,bmw,m6,automovil,False,bmw m6,Coupe
55,bmw,m850i,automovil,False,bmw m850i,Coupe
56,bmw,x1,station wagon,False,bmw x1,SUV
57,bmw,x2,station wagon,False,bmw x2,SUV
58,bmw,x3,station wagon,False,bmw x3,SUV
59,bmw,x4,station wagon,False,bmw x4,SUV
60,bmw,x5,station wagon,False,bmw x5,SUV
61,bmw,x6,station wagon,False,bmw x6,SUV
62,bmw,x7,station wagon,False,bmw x7,SUV
63,bmw,z4,automovil,False,bmw z4,Convertible
64,brilliance,h220,automovil,False,brilliance h220,Sedan
65,brilliance,h230,automovil,False,brilliance h230,Sedan
66,brilliance,h2l,furgon,False,brilliance h2l,SUV
67,brilliance,konect,station wagon,False,brilliance konect,Sedan
68,brilliance,v3,station wagon,False,brilliance v3,Sedan
69,brilliance,v5,station wagon,False,brilliance v5,Sedan
70,byd,f0,automovil,False,byd f0,Hatchback
71,byd,f3,automovil,False,byd f3,Sedan
72,byd,s1,automovil,False,byd s1,Hatchback
73,byd,s5,station wagon,False,byd s5,SUV
74,byd,s6,station wagon,False,byd s6,SUV
75,changan,a500,station wagon,True,changan a500,Sedan
76,changan,cs1,automovil,True,changan cs1,Hatchback
77,changan,cs15,automovil,True,changan cs15,Hatchback
78,changan,cs35,station wagon,True,changan cs35,Sedan
79,changan,cs55,station wagon,True,changan cs55,SUV
80,changan,cs75,station wagon,True,changan cs75,SUV
81,changan,cv1,automovil,True,changan cv1,Hatchback
82,changan,cx70,station wagon,True,changan cx70,SUV
83,changan,hunter,camioneta,True,changan hunter,SUV
84,changan,m201,furgon,True,changan m201,Hatchback
85,changan,md201,camioneta,True,changan md201,Sedan
86,changan,ms201,camioneta,True,changan ms201,Sedan
87,changan,new cv2,automovil,True,changan new cv2,Hatchback
88,changan,s200,camioneta,True,changan s200,Sedan
89,chery,arrizo,automovil,False,chery arrizo,Sedan
90,chery,beat,station wagon,False,chery beat,Hatchback
91,chery,fulwin,automovil,False,chery fulwin,Sedan
92,chery,iq,automovil,False,chery iq,Hatchback
93,chery,k60,station wagon,False,chery k60,Hatchback
94,chery,tiggo,station wagon,False,chery tiggo,SUV
95,chevrolet,apache,station wagon,False,chevrolet apache,Station Wagon
96,chevrolet,astra,automovil,False,chevrolet astra,Hatchback
97,chevrolet,astro,station wagon,False,chevrolet astro,Van
98,chevrolet,avalanche,camioneta,False,chevrolet avalanche,SUV
99,chevrolet,aveo,automovil,False,chevrolet aveo,Hatchback
100,chevrolet,blazer,camioneta,False,chevrolet blazer,SUV
101,chevrolet,cadillac,automovil,False,chevrolet cadillac,Sedan
102,chevrolet,camaro,automovil,False,chevrolet camaro,Coupe
103,chevrolet,caprice,station wagon,False,chevrolet caprice,Sedan
104,chevrolet,captiva,station wagon,False,chevrolet captiva,SUV
105,chevrolet,cavalier,automovil,False,chevrolet cavalier,Sedan
106,chevrolet,chevalier,automovil,False,chevrolet chevalier,Sedan
107,chevrolet,chevy,automovil,False,chevrolet chevy,Sedan
108,chevrolet,cheyenne,camioneta,False,chevrolet cheyenne,SUV
109,chevrolet,ck,camioneta,False,chevrolet ck,Station Wagon
110,chevrolet,cobalt,automovil,False,chevrolet cobalt,Sedan
111,chevrolet,colorado,camioneta,False,chevrolet colorado,Station Wagon
112,chevrolet,combo,furgon,False,chevrolet combo,Hatchback
113,chevrolet,corsa,automovil,False,chevrolet corsa,Hatchback
114,chevrolet,corvette,automovil,False,chevrolet corvette,Coupe
115,chevrolet,cruze,automovil,False,chevrolet cruze,Sedan
116,chevrolet,cs,camioneta,False,chevrolet cs,Sedan
117,chevrolet,d max,camioneta,False,chevrolet d max,SUV
118,chevrolet,equinox,station wagon,False,chevrolet equinox,SUV
119,chevrolet,express,station wagon,False,chevrolet express,Van
120,chevrolet,fleetside,camioneta,False,chevrolet fleetside,Station Wagon
121,chevrolet,geo,automovil,False,chevrolet geo,Hatchback
122,chevrolet,groove,station wagon,False,chevrolet groove,Hatchback
123,chevrolet,hhr,station wagon,False,chevrolet hhr,Station Wagon
124,chevrolet,impala,automovil,False,chevrolet impala,Sedan
125,chevrolet,lumina,automovil,False,chevrolet lumina,Sedan
126,chevrolet,luv,camioneta,False,chevrolet luv,Station Wagon
127,chevrolet,malibu,automovil,False,chevrolet malibu,Sedan
128,chevrolet,metro,automovil,False,chevrolet metro,Hatchback
129,chevrolet,montana,camioneta,False,chevrolet montana,Station Wagon
130,chevrolet,monza,automovil,False,chevrolet monza,Hatchback
131,chevrolet,n300,furgon,False,chevrolet n300,Van
132,chevrolet,n400,furgon,False,chevrolet n400,Sedan
133,chevrolet,onix,automovil,False,chevrolet onix,Hatchback
134,chevrolet,optra,automovil,False,chevrolet optra,Sedan
135,chevrolet,orlando,station wagon,False,chevrolet orlando,Station Wagon
136,chevrolet,pick up,camioneta,False,chevrolet pick up,Station Wagon
137,chevrolet,premier,camioneta,False,chevrolet premier,Sedan
138,chevrolet,prisma,automovil,False,chevrolet prisma,Sedan
139,chevrolet,s10,camioneta,False,chevrolet s10,Station Wagon
140,chevrolet,sail,automovil,False,chevrolet sail,Sedan
141,chevrolet,saturn,automovil,False,chevrolet saturn,Sedan
142,chevrolet,silverado,camioneta,False,chevrolet silverado,Station Wagon
143,chevrolet,sonic,automovil,False,chevrolet sonic,Hatchback
144,chevrolet,space,camioneta,False,chevrolet space,SUV
145,chevrolet,space cab,camioneta,False,chevrolet space cab,Station Wagon
146,chevrolet,spacecab,camioneta,False,chevrolet spacecab,Station Wagon
147,chevrolet,spark,automovil,False,chevrolet spark,Hatchback
148,chevrolet,spin,station wagon,False,chevrolet spin,Hatchback
149,chevrolet,sportside,camioneta,False,chevrolet sportside,Station Wagon
150,chevrolet,sprint,automovil,False,chevrolet sprint,Hatchback
