id,marca,modelo,tipo,is_derco
0,alfa romeo,4c,automovil,False
1,alfa romeo,giulia,automovil,False
2,alfa romeo,giulietta,automovil,False
3,alfa romeo,mito,automovil,False
4,alfa romeo,stelvio,station wagon,False
5,audi,a1,automovil,False
6,audi,a3,automovil,False
7,audi,a4,automovil,False
8,audi,a5,automovil,False
9,audi,a6,automovil,False
10,audi,a7,automovil,False
11,audi,a8,automovil,False
12,audi,q2,station wagon,False
13,audi,q3,station wagon,False
14,audi,q5,station wagon,False
15,audi,q7,jeep,False
16,audi,q8,station wagon,False
17,audi,r8,automovil,False
18,audi,tt,automovil,False
19,baic,plus,furgon,False
20,baic,up,automovil,False
21,baic,x25,station wagon,False
22,baic,x35,station wagon,False
23,baic,x55,station wagon,False
24,baic,zoom,jeep,False
25,bmw,118,automovil,False
26,bmw,120,automovil,False
27,bmw,128,automovil,False
28,bmw,218,automovil,False
29,bmw,220,automovil,False
30,bmw,318,automovil,False
31,bmw,320,automovil,False
32,bmw,330,automovil,False
33,bmw,340,automovil,False
34,bmw,420,automovil,False
35,bmw,435,automovil,False
36,bmw,520,automovil,False
37,bmw,528,automovil,False
38,bmw,530,automovil,False
39,bmw,535,automovil,False
40,bmw,540,automovil,False
41,bmw,640,automovil,False
42,bmw,650,automovil,False
43,bmw,730,automovil,False
44,bmw,740,automovil,False
45,bmw,745,automovil,False
46,bmw,750,automovil,False
47,bmw,i3,automovil,False
48,bmw,i8,automovil,False
49,bmw,m135,automovil,False
50,bmw,m2,automovil,False
51,bmw,m3,automovil,False
52,bmw,m4,automovil,False
53,bmw,m5,automovil,False
54,bmw,m6,automovil,False
55,bmw,m850i,automovil,False
56,bmw,x1,station wagon,False
57,bmw,x2,station wagon,False
58,bmw,x3,station wagon,False
59,bmw,x4,station wagon,False
60,bmw,x5,station wagon,False
61,bmw,x6,station wagon,False
62,bmw,x7,station wagon,False
63,bmw,z4,automovil,False
64,brilliance,h220,automovil,False
65,brilliance,h230,automovil,False
66,brilliance,h2l,furgon,False
67,brilliance,konect,station wagon,False
68,brilliance,v3,station wagon,False
69,brilliance,v5,station wagon,False
70,byd,f0,automovil,False
71,byd,f3,automovil,False
72,byd,s1,automovil,False
73,byd,s5,station wagon,False
74,byd,s6,station wagon,False
75,changan,a500,station wagon,True
76,changan,cs1,automovil,True
77,changan,cs15,automovil,True
78,changan,cs35,station wagon,True
79,changan,cs55,station wagon,True
80,changan,cs75,station wagon,True
81,changan,cv1,automovil,True
82,changan,cx70,station wagon,True
83,changan,hunter,camioneta,True
84,changan,m201,furgon,True
85,changan,md201,camioneta,True
86,changan,ms201,camioneta,True
87,changan,new cv2,automovil,True
88,changan,s200,camioneta,True
89,chery,arrizo,automovil,False
90,chery,beat,station wagon,False
91,chery,fulwin,automovil,False
92,chery,iq,automovil,False
93,chery,k60,station wagon,False
94,chery,tiggo,station wagon,False
95,chevrolet,apache,station wagon,False
96,chevrolet,astra,automovil,False
97,chevrolet,astro,station wagon,False
98,chevrolet,avalanche,camioneta,False
99,chevrolet,aveo,automovil,False
100,chevrolet,blazer,camioneta,False
101,chevrolet,cadillac,automovil,False
102,chevrolet,camaro,automovil,False
103,chevrolet,caprice,station wagon,False
104,chevrolet,captiva,station wagon,False
105,chevrolet,cavalier,automovil,False
106,chevrolet,chevalier,automovil,False
107,chevrolet,chevy,automovil,False
108,chevrolet,cheyenne,camioneta,False
109,chevrolet,ck,camioneta,False
110,chevrolet,cobalt,automovil,False
111,chevrolet,colorado,camioneta,False
112,chevrolet,combo,furgon,False
113,chevrolet,corsa,automovil,False
114,chevrolet,corvette,automovil,False
115,chevrolet,cruze,automovil,False
116,chevrolet,cs,camioneta,False
117,chevrolet,d max,camioneta,False
118,chevrolet,equinox,station wagon,False
119,chevrolet,express,station wagon,False
120,chevrolet,fleetside,camioneta,False
121,chevrolet,geo,automovil,False
122,chevrolet,groove,station wagon,False
123,chevrolet,hhr,station wagon,False
124,chevrolet,impala,automovil,False
125,chevrolet,lumina,automovil,False
126,chevrolet,luv,camioneta,False
127,chevrolet,malibu,automovil,False
128,chevrolet,metro,automovil,False
129,chevrolet,montana,camioneta,False
130,chevrolet,monza,automovil,False
131,chevrolet,n300,furgon,False
132,chevrolet,n400,furgon,False
133,chevrolet,onix,automovil,False
134,chevrolet,optra,automovil,False
135,chevrolet,orlando,station wagon,False
136,chevrolet,pick up,camioneta,False
137,chevrolet,premier,camioneta,False
138,chevrolet,prisma,automovil,False
139,chevrolet,s10,camioneta,False
140,chevrolet,sail,automovil,False
141,chevrolet,saturn,automovil,False
142,chevrolet,silverado,camioneta,False
143,chevrolet,sonic,automovil,False
144,chevrolet,space,camioneta,False
145,chevrolet,space cab,camioneta,False
146,chevrolet,spacecab,camioneta,False
147,chevrolet,spark,automovil,False
148,chevrolet,spin,station wagon,False
149,chevrolet,sportside,camioneta,False
150,chevrolet,sprint,automovil,False
151,chevrolet,suburban,station wagon,False
152,chevrolet,tahoe,station wagon,False
153,chevrolet,tracker,station wagon,False
154,chevrolet,trailblazer,station wagon,False
155,chevrolet,traverse,station wagon,False
156,chevrolet,trax,station wagon,False
157,chevrolet,trooper,jeep,False
158,chevrolet,uplander,station wagon,False
159,chevrolet,van,furgon,False
160,chevrolet,vectra,automovil,False
161,chevrolet,venture,station wagon,False
162,chevrolet,vivant,station wagon,False
163,chevrolet,volt,automovil,False
164,chevrolet,winstorm,station wagon,False
165,chevrolet,work truck,camioneta,False
166,chevrolet,zafira,station wagon,False
167,citroen,ax,automovil,False
168,citroen,berlingo,furgon,False
169,citroen,c3,automovil,False
170,citroen,c4,automovil,False
171,citroen,c5,automovil,False
172,citroen,ds3,automovil,False
173,citroen,ds4,automovil,False
174,citroen,ds5,automovil,False
175,citroen,elysee,automovil,False
176,citroen,jumper,furgon,False
177,citroen,jumpy,furgon,False
178,citroen,multispace,station wagon,False
179,citroen,nemo,furgon,False
180,citroen,saxo,automovil,False
181,citroen,xantia,automovil,False
182,citroen,xsara,automovil,False
183,citroen,zx,automovil,False
184,daihatsu,applause,automovil,False
185,daihatsu,charade,automovil,False
186,daihatsu,cuore,automovil,False
187,daihatsu,delta,station wagon,False
